id,media_type,url,document_id
9dca3707-3c23-4744-a43a-a405dbbe311c,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1236,c4adfac7-9173-4d91-9789-0218113c1ec9
fff1b307-cc62-42a5-a86c-d899d6d3a19e,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1235,b21502b8-ff52-42d0-915b-b64f3f239030
94a13d07-3228-4126-8927-3abd2e089d79,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1234,2dedccc1-436d-45a7-b1e7-3a0334c5a682
59a8a7e5-152a-4c61-aab3-d67f2a06cba0,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1233,bd0a9e1e-bb98-4c4e-9f08-c446e73ee295
c6c2e928-70e1-490f-9a6b-7521dce2fb85,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1232,aa6b1a2b-c8b5-46c9-b51e-e73c7bf89e19
36e2b9b5-91cb-4309-bd31-15c9cc09547c,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1231,2c447b06-eb05-4b52-8e37-7c503fa4f3d9
e1707193-4a89-4cb4-977d-d0fe28d1a826,text/html,https://www.cbo.gov/publication/61243,4902c671-e4f2-4a11-ad8b-f80d7574751d
f8e410a6-d6f8-4698-875e-688b8bf316d0,application/pdf,https://www.congress.gov/119/crpt/hrpt1/CRPT-119hrpt1.pdf,4575115e-f95c-45d8-9f70-f2ef0cecda06
480bfbf0-ab55-4a62-8149-9c850a78bbb8,text/html,https://www.cbo.gov/publication/61353,71c3f836-b4bb-4b62-bf7c-76662e3ea721
c27eb3e3-419d-4788-a62f-8b76ec05cb1f,text/html,https://www.cbo.gov/publication/61354,8cb4eef4-d11c-4b61-9eab-1a30ae02aab1
c8d1faa6-3486-4f55-be9f-554f915ce924,text/html,https://www.cbo.gov/publication/61352,25a4b2f5-cb3e-4222-8812-4814d3b6fb7d
5cb27bdc-a8ce-41f0-900a-02f507735446,text/html,https://www.cbo.gov/publication/61342,fa4b6a85-c329-4bb6-8cec-3cbf301efec0
50985898-ac11-403c-8277-1efc1f935192,text/html,https://www.cbo.gov/publication/61355,29a4f562-4e6a-4c15-9418-6cd4a4fb2de8
c0fee3aa-2eb9-4d6e-b0ee-5fe1af7d9fd4,text/html,https://www.cbo.gov/publication/61357,ab5b3222-70bc-4c7b-960a-83c5af06619a
d4193b66-0d3d-4ed1-b98e-9ffe1f26c27c,text/html,https://www.congress.gov/amendment/119th-congress/house-amendment/3,6c80f740-1f84-4641-8b12-60235885cc92
e8d90ad3-b6ed-4727-a9a6-815f1a544c4f,text/html,https://www.congress.gov/amendment/119th-congress/house-amendment/2,0513120b-39a1-4e5a-b97e-a2c969b5f21c
6cb38bd8-36d2-43b7-a2e0-7101a1d392be,text/html,https://www.cbo.gov/publication/61234,b9056211-1c93-4417-b6d6-884817aa4fe8
0bd119b8-2061-4f2a-a9f4-79c11ce7a298,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1230,964e3a52-d60c-4567-a537-dcc1ac496294
95a1ef1b-7a44-42a1-a74a-a2eda7b9fece,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1229,7d6941a5-fd8c-4e05-8e82-43f502257759
5f3773b3-3c28-4950-bed4-b72e692676f1,text/html,https://www.cbo.gov/publication/61204,29367384-4672-4395-b59c-237ccd4a86e2
02b7511d-b501-42b9-9532-c847f298dc9d,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1279,cc61a14f-4893-4307-a47f-d457f86b8fb3
d8ce34f9-9e21-4548-b53c-dd4a8fa6fa93,text/html,https://www.cbo.gov/publication/61343,edbdc6f6-02ed-4a64-b4c4-34918109f802
bdd1e5fe-05de-4edf-9292-1a5f1a1b0f6b,text/html,https://www.cbo.gov/publication/61241,b67673df-0e3f-40af-aecc-2f28d2b6f4d5
feceb761-e223-4b35-ace3-07b84d41919c,application/pdf,https://www.congress.gov/119/crpt/hrpt7/CRPT-119hrpt7.pdf,433de534-2761-4291-87cf-1bf900c7093f
f8f49d40-56c3-4af2-aff6-51ebfd68627a,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1286,220e5b9b-32ee-4c84-b0d7-95f8401cf705
3842ace0-c131-4025-ba35-50550322bc54,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1278,7675a544-c83c-419f-a7c6-83479fec058b
613d9cae-9b12-4756-b829-19daceb40d20,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1277,03e76d03-2c60-4efa-8fcc-f00aa3c84b7d
80835663-a1b6-4242-b1de-49cb14918ebe,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1276,43ad4bda-2525-4140-a187-e0cb986e80b5
bcae6e31-2981-475d-8b60-e664b73e2f7d,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1275,0aefa004-8969-47ac-936f-d9baf6e467a4
12f9eb99-a857-49aa-85b6-72b87f7018eb,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1274,7fa68248-b75f-4da3-a385-504c6e03f126
e04a5757-14ad-4785-8093-458433f57985,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1273,3b60d805-f8c4-451a-b62e-db22a6d5c73d
c7b8901a-e2e7-4252-9eec-a34ae66757d9,text/html,https://www.congress.gov/amendment/119th-congress/house-amendment/8,e07ef7ee-7a60-4093-9553-e4d231d9ae8d
44b88ec3-36a0-4e5b-9cbd-60e2720419d1,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1288,081ea14f-e4a9-4e21-bb7c-1c926204171d
ff76ca60-4e9d-47b8-9c11-b3f6b02c67f9,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1287,afa618f3-9a57-406b-ad28-a7661b2d5688
afd8440d-4ef4-477a-86c2-2998a7bda012,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1285,0bc63c71-3afb-46b5-8811-eb32a8932237
362382a9-0611-4649-a022-929550292f5e,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1284,741cd4a8-7c50-44ef-aee1-33684a21d055
e75336d7-efd6-47f5-bde4-99b6b621586e,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1283,7afe4ec8-84d3-455d-8bc4-0ca1d248add3
a7581b2c-0014-4fa9-9e0b-a70413b8575e,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1282,d671670f-3f70-4010-9dcf-0abb9e62bdf6
22777897-a4d4-4afc-8dc8-7a98b3b97725,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1281,361d6b44-01d0-49f4-9c94-ee9f020bec58
ed1bb984-b0fd-47b3-bd05-b6ff6c988d25,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1280,5507945f-8246-4930-9379-47435ab39e4d
d859f2e4-bfdf-4302-9004-469023a82db8,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1272,dfebd8b0-2294-4e2b-87b7-d8403ae51626
953fd0c6-3d96-4483-98e5-6ce5c2f4c968,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1271,468fb344-2b38-4be6-bcd7-42ada6a7ec44
af2702cb-9fe8-4abc-8b5d-234b067f74ec,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1270,22d732cd-d02d-461f-98d0-73b5cdb2ce20
0e9ef55e-0ad4-4381-be8c-0f23a19653a9,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1269,463ff283-4f12-42a1-8f6f-541231a6dd0a
478c7f50-c0c8-47c3-9b70-9203753b833c,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1268,5ad4b230-3ec3-4b42-ac28-22a40a253b60
ebdf1b66-48a1-4d4a-8947-eefbde60bdfe,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1267,a114ed55-b686-437a-8077-3da3234d09c8
d180dd89-3d7f-41ac-af57-649b7291ddc2,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/1266,ed4334c8-4d5b-445b-802e-20e8d3c4b17a
11e19dbf-2757-465a-ba4f-2fd1d2b76119,text/html,https://www.cbo.gov/publication/61248,70b36069-d036-4fe5-a490-186214423c19
4fa088e7-81e7-4fb9-a4ff-1c0bba50f393,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/94,646ea7cc-90e3-4ae4-b2ae-8e16b7e1dc64
d6ca167c-1e71-4806-8e99-b1f07f4307b8,text/html,https://www.congress.gov/amendment/119th-congress/house-amendment/1,29ba52a0-f9a1-4fa8-b76d-f65759088f24
3b02886a-f815-45d9-a859-ebc1154824b7,text/html,https://www.cbo.gov/publication/61245,ceedd76b-77ea-4241-97ed-8adbaf381a74
fea99077-97c2-4926-b80b-67b7ec0b16a2,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/93,f4caff27-db50-4795-9ee4-a92e40beca57
c347c292-80b5-4981-b82d-859d3301109c,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/92,8d627943-0d2f-42b4-b76c-38762324c0c0
e9893e6d-ee29-45ec-ac3c-5dc765f4b3ae,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/91,8294c1ad-f36e-40eb-b3e1-d82696240385
a3c6d353-d5f3-440e-9bad-ea6d2aedbb1c,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/90,f1d19e4e-4a8c-4472-a2f7-0492b8e4f237
04014331-b24c-4667-86ed-340502c4d152,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/9,a2c5bfcf-61c0-4e29-b493-4b2167d165fd
a6b9cc7f-c535-47c4-9b74-0e6e5e792bff,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/89,9073285a-225e-47bb-91bb-deabb71e4a15
79f564fc-a92b-45bf-93b5-83878afc6a3a,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/88,24702422-76c8-446b-bdb5-6db693593d5a
d3c24bfc-fc68-4ea8-b7a9-05d78d78b392,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/87,0f47c5e5-1adf-4f91-b09c-598968e48158
53308407-86a5-4c05-a682-84e478db95bd,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/86,f3aef2f6-6fd4-4d09-8bdb-665669c5ba9c
892ba0b5-63d5-439d-82b6-e0b563cfa939,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/85,5e93ce7d-05cf-448f-9ce3-4345ff6bbaf1
e7d1ee87-7a9b-49ad-8ad9-6e78aa72b297,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/97,d6c66024-03d5-42ec-a0f1-846125db5f96
2e6bf13e-7613-449d-97cf-1c21ea8ea448,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/84,d9dbb269-e9ca-4c5d-85aa-8169488a8aaa
e83a292f-fdc8-4004-9f15-d9b098c1bb1e,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/96,4e512a60-7d91-4351-a53e-67d13a848926
b51bad75-cc95-4143-9259-5263ee0b65de,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/83,4258c655-ad6e-4b8c-8a53-4fe58bb513a1
ea680a2f-5b7f-40e0-8c98-409f0f97ed4c,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/95,84bd7ee4-a523-4a00-be1d-457e646dd00e
d661b544-a59a-49a6-b7ca-eb71037e73ba,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/82,8f208f09-6f53-42cc-ba28-16db3840a70b
55d48fdc-ff52-45f6-9851-f5f35ac3d462,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/81,0de0d67e-ef0a-4ddb-9a12-e93fca65bc3f
ee740dda-c051-4449-aa6e-df17bbfe77f4,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/80,738f60ed-58d9-4d21-9b52-863950e59ddf
fe84d11f-79b7-4e22-8f9a-7fd2ab141dc7,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/8,04f7db9a-4c4b-4bdd-89c2-a66b7b6d21be
0440cf43-40b4-49f4-b37e-23159ad769c4,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/79,bfd92b48-01ec-47eb-8223-3c68ceb0a3eb
e43804bc-a87b-477f-90a8-92af6c65d50e,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/78,2485613c-ddcc-4ede-bed8-ae1170f1cd15
d77144e3-ad59-4ea5-8d69-929a8d32a513,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/77,68207fb0-fc60-4ebd-bc9e-bea566a5383f
5b9793c1-564e-42a5-8c28-a3f1a5ee3203,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/76,5403c378-c488-4e59-83d1-b4e1f00cbfb8
d9534493-e710-4959-8f1d-7491c7d13d39,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/75,f2876a30-c304-4b70-a871-b032b2422aa7
ae00b2ee-2b38-445d-9bec-5d06eb38b840,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/74,20464358-e837-495b-b41e-ca1b0ae11c78
e43d9fd9-3d4e-411f-bb2d-a050e10cae5b,text/html,https://www.cbo.gov/publication/61247,60627b76-10be-4d0b-aaa7-b49ed31e47d5
b669ee54-e8f0-4b7e-96e8-3c1474196a1d,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/73,775ba970-65d7-4e06-a571-a56e848443a8
392c0d9a-7fd7-43a2-b7f4-359534f8b3b9,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/72,93e820a0-fefb-4ac4-b363-0c8b32302f7c
7385af7f-2759-43fc-b9bd-46c81b445966,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/71,3b47ee37-c0e2-4b2d-9a6d-e1e2abcd2f58
65859917-eb1c-4bd5-82d7-7b81bc2dd99f,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/70,0fa14f6e-fb17-40a7-9de5-b7e02a2e57eb
24b20a61-7f0d-4489-b104-524a005db333,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/7,978476b8-f9a4-436c-b703-68e7cf85a838
43dbc4f8-34ac-4240-82a6-bac98d7c8209,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/69,f8771f67-f75e-4731-9077-6a4dbbdd3be6
5dbc69d9-2d9a-471c-b937-e3237b74b3ef,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/68,17d8b761-e814-4ea9-888b-549f0f9e3c6a
b5c47fc9-63e9-40d2-9582-1165cb33fd86,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/67,04f75b30-70cf-49c8-b995-5ccc7cd600d2
62d56354-735f-48e2-8b3d-b80a030540b3,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/66,cb54abf7-6239-4dc5-b29d-214fb37fbb77
68c09f36-478e-43ca-a9bb-bd0f018c61f9,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/65,cb457fe4-7a5c-4b1e-a65a-d92c4ca73ef7
dbe20c37-a823-4e9c-8236-da1b2f2685cc,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/64,21d075a8-3a28-4b32-b888-586082eba5f7
0afebdf3-f0b6-4aaa-beb8-35e48c9d0f2e,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/63,0b16eb83-e023-4b3a-9de2-ccbbb66f2813
372baab1-059c-4b10-a7a5-6c1cec0739cc,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/62,f076251e-94e5-41a5-aa5f-8ed1977e1445
95e7f5b4-cf34-4b7e-84dd-746d31fe5c14,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/61,521588c0-0192-4c30-a0a8-eb17fcc46ad8
79a1b2cd-4846-47cd-9f39-929d75960553,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/60,3fe5c5a9-fd80-49f7-9ebc-7cc365d4fddb
c1053c33-c8dc-4325-abf6-9f68ba1ca27f,text/html,https://www.congress.gov/amendment/119th-congress/senate-amendment/6,8c208712-ae36-4861-9264-3e4be876e45a
