id,media_type,url,version_id
94350558-81ed-448b-922b-f77478b7ce06,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hr1776ih/pdf/BILLS-119hr1776ih.pdf,0e1dcb9b-4c97-4870-90b9-3a1f51fa0c52
f28f3483-1d12-433d-af8f-dc1a22b91a85,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119hr1776ih/xml/BILLS-119hr1776ih.xml,0e1dcb9b-4c97-4870-90b9-3a1f51fa0c52
ccb99827-cee3-48c3-ac1e-0df51c03fbe4,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119s693is/pdf/BILLS-119s693is.pdf,e6a0e997-5656-489b-9bd9-789a6f224696
512c3c8a-f507-4f89-93fe-24bd81942ffd,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119s693is/xml/BILLS-119s693is.xml,e6a0e997-5656-489b-9bd9-789a6f224696
9a854b40-cb7a-44b4-bca5-0fa527803db5,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119s690is/pdf/BILLS-119s690is.pdf,7f524149-ae04-442a-be19-a1b3ce339f84
25044efb-4aaa-40df-80f4-60503815cc8d,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119s690is/xml/BILLS-119s690is.xml,7f524149-ae04-442a-be19-a1b3ce339f84
3e4d0102-733d-4ad6-b970-993f88a0351c,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hr693ih/pdf/BILLS-119hr693ih.pdf,f0c9d84b-7a0a-417a-8b08-505648e97d75
ba23a870-c405-431f-b91e-caec3f6fbca6,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119hr693ih/xml/BILLS-119hr693ih.xml,f0c9d84b-7a0a-417a-8b08-505648e97d75
47bc9b94-b7b7-46ca-bd98-a049fc9009a2,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hr1806ih/pdf/BILLS-119hr1806ih.pdf,07dec294-c0c7-40ab-9f0c-6266424b2245
7b06ec48-201e-4681-964d-15842d23dc2b,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hr1593ih/pdf/BILLS-119hr1593ih.pdf,80c21f97-24cc-459e-bc2c-401f8aa3a2ae
