id,bill_id,related_bill_id,identifier,legislative_session,relation_type
beab84f8-e7bc-4a1f-aa65-8d6634e66d98,ocd-bill/b4bc7e4e-18ef-4279-b786-86453c788dd2,ocd-bill/875c212f-c08b-47ef-94bc-8c1faac14394,S 426,119,companion
9a4ba8bc-2abe-4212-9ccd-466e36650358,ocd-bill/53eac36c-1f9c-4933-b132-891d3ea62e13,ocd-bill/a780f0fc-2f82-4709-b7c4-fe5b02ac9145,HR 1249,119,companion
7cb16257-8ba8-4ca9-823c-3f3cef37d22b,ocd-bill/875c212f-c08b-47ef-94bc-8c1faac14394,ocd-bill/b4bc7e4e-18ef-4279-b786-86453c788dd2,HR 1036,119,companion
5b9a045e-ab46-436c-a6b2-c33a3153f0ce,ocd-bill/6a338d38-08a1-47a8-862d-9b9113017530,ocd-bill/95c2ab15-1961-462f-ae23-f9042708f0b6,HR 1402,119,companion
b6f03af3-2b69-428e-bcb3-8cfd9a4e4efd,ocd-bill/41b1cfd0-ba95-4ee9-ab0e-97eae851f4a6,ocd-bill/b051f104-6992-4813-b521-4e4efd7877bc,S 389,119,companion
4759db46-2357-496e-9dc7-ea7c54f7b8c8,ocd-bill/a780f0fc-2f82-4709-b7c4-fe5b02ac9145,ocd-bill/53eac36c-1f9c-4933-b132-891d3ea62e13,S 1065,119,companion
99732357-94f7-47f8-8efe-333b8dfec762,ocd-bill/7117e826-0ee8-4e1f-b1d0-39b21d3d873f,ocd-bill/019df66f-360b-4696-afa1-6bf9dd574612,S 289,119,companion
d3e5949b-da01-45aa-927f-58bddbaa97d9,ocd-bill/019df66f-360b-4696-afa1-6bf9dd574612,ocd-bill/7117e826-0ee8-4e1f-b1d0-39b21d3d873f,HR 1442,119,companion
79cd8147-e7b6-49e3-86c1-9160970d1303,ocd-bill/3d1627b7-4214-4bd2-981b-5b53cf7dfa8d,ocd-bill/77e4e135-f8bb-4258-8c53-45e321f7b513,HR 859,119,companion
d44cc329-2008-4663-a5d5-ba9994c9594d,ocd-bill/95c2ab15-1961-462f-ae23-f9042708f0b6,ocd-bill/6a338d38-08a1-47a8-862d-9b9113017530,S 281,119,companion
6cf4a293-c91e-46ef-ab3a-e7d97cdac909,ocd-bill/77e4e135-f8bb-4258-8c53-45e321f7b513,ocd-bill/3d1627b7-4214-4bd2-981b-5b53cf7dfa8d,S 28,119,companion
